2022-06-11 23:42:26,302 - INFO    - 开始计算新闻的热度值 ...
2022-06-11 23:42:26,312 - INFO    - HotValue:0.0
2022-06-11 23:42:26,312 - INFO    - HotValue:-0.2
2022-06-11 23:42:26,313 - INFO    - HotValue:-0.1
2022-06-11 23:42:26,313 - INFO    - HotValue:0.7
2022-06-11 23:42:26,313 - INFO    - HotValue:0.0
2022-06-11 23:42:26,313 - INFO    - HotValue:-2.3000000000000003
2022-06-11 23:42:26,313 - INFO    - HotValue:1.0
2022-06-11 23:42:26,313 - INFO    - HotValue:0.0
2022-06-11 23:42:26,313 - INFO    - HotValue:-0.1
2022-06-11 23:42:26,313 - INFO    - HotValue:-1.9000000000000001
2022-06-11 23:42:26,313 - INFO    - HotValue:0.0
2022-06-11 23:42:26,314 - INFO    - HotValue:27.5
2022-06-11 23:42:26,314 - INFO    - HotValue:4.9
2022-06-11 23:42:26,315 - INFO    - HotValue:-1.4000000000000001
2022-06-11 23:42:26,315 - INFO    - HotValue:0.0
2022-06-11 23:42:26,315 - INFO    - HotValue:112.9
2022-06-11 23:42:26,315 - INFO    - HotValue:-0.1
2022-06-11 23:42:26,315 - INFO    - HotValue:-1.9000000000000001
2022-06-11 23:42:26,315 - INFO    - HotValue:0.0
2022-06-11 23:42:26,315 - INFO    - HotValue:86.4
2022-06-11 23:42:26,315 - INFO    - HotValue:2356.9
2022-06-11 23:42:26,316 - INFO    - HotValue:2448.3
2022-06-11 23:42:26,316 - INFO    - HotValue:3632.3
2022-06-11 23:42:26,316 - INFO    - HotValue:0.0
2022-06-11 23:42:26,316 - INFO    - HotValue:0.0
2022-06-11 23:42:26,316 - INFO    - HotValue:0.0
2022-06-11 23:42:26,316 - INFO    - HotValue:0.0
2022-06-11 23:42:26,316 - INFO    - HotValue:0.0
2022-06-11 23:42:26,316 - INFO    - HotValue:637.4
2022-06-11 23:42:26,316 - INFO    - HotValue:-0.1
2022-06-11 23:42:26,316 - INFO    - HotValue:352.3
2022-06-11 23:42:26,316 - INFO    - HotValue:0.0
2022-06-11 23:42:26,316 - INFO    - HotValue:-1.7000000000000002
2022-06-11 23:42:26,317 - INFO    - HotValue:0.0
2022-06-11 23:42:26,317 - INFO    - HotValue:39.9
2022-06-11 23:42:26,317 - INFO    - 新闻热度值计算完毕,返回结果 ...
2022-06-11 23:42:26,318 - ERROR   - rollback:(1, 4, '0.00')
2022-06-11 23:42:26,318 - ERROR   - rollback:(2, 6, '-0.20')
2022-06-11 23:42:26,319 - ERROR   - rollback:(3, 1, '-0.10')
2022-06-11 23:42:26,319 - ERROR   - rollback:(4, 3, '0.70')
2022-06-11 23:42:26,319 - ERROR   - rollback:(5, 9, '0.00')
2022-06-11 23:42:26,320 - ERROR   - rollback:(6, 5, '-2.30')
2022-06-11 23:42:26,320 - ERROR   - rollback:(7, 7, '1.00')
2022-06-11 23:42:26,321 - ERROR   - rollback:(8, 4, '0.00')
2022-06-11 23:42:26,321 - ERROR   - rollback:(9, 6, '-0.10')
2022-06-11 23:42:26,321 - ERROR   - rollback:(10, 5, '-1.90')
2022-06-11 23:42:26,322 - ERROR   - rollback:(11, 7, '0.00')
2022-06-11 23:42:26,322 - ERROR   - rollback:(12, 0, '27.50')
2022-06-11 23:42:26,323 - ERROR   - rollback:(13, 6, '4.90')
2022-06-11 23:42:26,323 - ERROR   - rollback:(14, 5, '-1.40')
2022-06-11 23:42:26,324 - ERROR   - rollback:(15, 4, '0.00')
2022-06-11 23:42:26,324 - ERROR   - rollback:(16, 6, '112.90')
2022-06-11 23:42:26,325 - ERROR   - rollback:(17, 1, '-0.10')
2022-06-11 23:42:26,325 - ERROR   - rollback:(18, 5, '-1.90')
2022-06-11 23:42:26,326 - ERROR   - rollback:(19, 0, '0.00')
2022-06-11 23:42:26,326 - ERROR   - rollback:(20, 6, '86.40')
2022-06-11 23:42:26,327 - ERROR   - rollback:(21, 1, '2356.90')
2022-06-11 23:42:26,327 - ERROR   - rollback:(22, 2, '2448.30')
2022-06-11 23:42:26,328 - ERROR   - rollback:(23, 3, '3632.30')
2022-06-11 23:42:26,330 - ERROR   - rollback:(24, 7, '0.00')
2022-06-11 23:42:26,335 - ERROR   - rollback:(25, 4, '0.00')
2022-06-11 23:42:26,338 - ERROR   - rollback:(26, 9, '0.00')
2022-06-11 23:42:26,340 - ERROR   - rollback:(27, 7, '0.00')
2022-06-11 23:42:26,341 - ERROR   - rollback:(28, 0, '0.00')
2022-06-11 23:42:26,342 - ERROR   - rollback:(29, 6, '637.40')
2022-06-11 23:42:26,343 - ERROR   - rollback:(30, 1, '-0.10')
2022-06-11 23:42:26,345 - ERROR   - rollback:(31, 3, '352.30')
2022-06-11 23:42:26,350 - ERROR   - rollback:(32, 9, '0.00')
2022-06-11 23:42:26,351 - ERROR   - rollback:(33, 5, '-1.70')
2022-06-11 23:42:26,398 - ERROR   - rollback:(34, 0, '0.00')
2022-06-11 23:42:26,432 - ERROR   - rollback:(35, 1, '39.90')
2022-06-11 23:42:26,476 - INFO    - 热度数据写入数据库:news.newshot
